city,aqi,dominant_pollutant,timestamp,station,lat,lon,pm25,pm10,o3,no2,so2,co
Delhi,301,pm25,2015-03-26 13:34:32,Delhi Central,16.7232584924104,82.35140385147598,198,208,72,30,13,14
Delhi,187,o3,2015-03-30 05:49:05,Delhi Central,17.118199540484902,80.74011373397065,114,140,88,42,9,10
Delhi,249,pm25,2015-04-02 22:03:38,Delhi Central,13.459414019692677,75.8622002862278,131,146,53,58,27,8
Delhi,220,pm25,2015-04-06 14:18:10,Delhi Central,25.282462184965595,82.43339668416372,86,203,83,23,5,6
Delhi,172,pm25,2015-04-10 06:32:43,Delhi Central,27.233334010580087,74.76489428565331,112,124,48,64,19,5
Delhi,233,pm25,2015-04-13 22:47:16,Delhi Central,12.884455470506966,84.86455366102751,126,206,53,39,34,10
Delhi,268,pm25,2015-04-17 15:01:49,Delhi Central,29.000354708279396,81.70713359879683,140,196,51,26,24,11
Delhi,233,pm25,2015-04-21 07:16:21,Delhi Central,27.534793559997542,80.43442248290067,176,146,57,27,18,9
Delhi,198,pm25,2015-04-24 23:30:54,Delhi Central,14.87072116832331,76.68547464204129,119,148,51,57,11,12
Delhi,178,o3,2015-04-28 15:45:27,Delhi Central,21.24354402641898,73.27830181845181,130,104,57,43,12,9
Delhi,324,pm10,2015-05-02 08:00:00,Delhi Central,22.288123671076143,81.50890618336683,173,269,53,48,14,6
Delhi,319,pm25,2015-05-06 00:14:32,Delhi Central,18.609171900010576,71.98284254083903,209,276,60,38,12,14
Delhi,315,pm10,2015-05-09 16:29:05,Delhi Central,28.58699831444649,72.91789021708847,191,301,21,53,13,0
Delhi,246,pm25,2015-05-13 08:43:38,Delhi Central,27.388251006111005,86.13621880742886,147,216,61,15,20,11
Delhi,305,no2,2015-05-17 00:58:10,Delhi Central,21.6752472874483,77.54920502129744,178,253,41,37,22,15
Delhi,241,pm25,2015-05-20 17:12:43,Delhi Central,18.173463162132553,77.88472401120816,133,226,51,49,10,10
Delhi,201,pm25,2015-05-24 09:27:16,Delhi Central,29.015036307484273,76.68312683626607,114,155,68,58,29,7
Delhi,219,pm25,2015-05-28 01:41:49,Delhi Central,24.22780243945345,73.29555933687263,139,147,13,49,25,7
Delhi,232,pm25,2015-05-31 17:56:21,Delhi Central,16.122927964028197,86.72800513096338,125,245,46,44,18,13
Delhi,275,o3,2015-06-04 10:10:54,Delhi Central,13.464699465761631,81.6520784567577,193,253,43,34,11,6
Delhi,257,pm25,2015-06-08 02:25:27,Delhi Central,13.618846819287207,72.35580382009472,194,156,57,40,32,15
Delhi,268,o3,2015-06-11 18:40:00,Delhi Central,16.40477839181512,80.64793905344676,141,201,43,52,25,10
Delhi,321,pm25,2015-06-15 10:54:32,Delhi Central,17.284522393810313,89.9298391712834,185,253,64,68,1,3
Delhi,268,pm25,2015-06-19 03:09:05,Delhi Central,28.128125167823356,83.5668579857323,176,190,23,37,0,8
Delhi,241,pm25,2015-06-22 19:23:38,Delhi Central,15.788727438338894,82.14330168268445,126,222,65,35,14,13
Delhi,311,pm10,2015-06-26 11:38:10,Delhi Central,14.733387980113914,84.11939428565546,178,217,75,35,19,14
Delhi,280,pm25,2015-06-30 03:52:43,Delhi Central,29.08662745011675,76.83081507706581,211,238,57,13,22,16
Delhi,192,pm25,2015-07-03 20:07:16,Delhi Central,29.05267982852726,77.73469122015557,133,140,48,56,19,12
Delhi,149,pm10,2015-07-07 12:21:49,Delhi Central,12.170254455195483,73.86561808135144,78,159,66,30,44,17
Delhi,199,pm25,2015-07-11 04:36:21,Delhi Central,28.920756903271844,86.50336269170614,130,138,61,11,40,8
Delhi,307,pm25,2015-07-14 20:50:54,Delhi Central,24.53911488738063,71.73255203452513,186,225,48,43,24,11
Delhi,263,pm25,2015-07-18 13:05:27,Delhi Central,25.514302076356667,75.80922859957154,173,150,65,32,0,18
Delhi,315,pm25,2015-07-22 05:19:59,Delhi Central,24.956471659923768,81.29331789723645,149,296,39,47,15,13
Delhi,256,pm25,2015-07-25 21:34:32,Delhi Central,22.010865801296546,74.67209146969205,192,245,60,25,29,13
Delhi,188,pm25,2015-07-29 13:49:05,Delhi Central,15.338269331402167,72.41188763254743,106,143,51,31,21,10
Delhi,219,pm25,2015-08-02 06:03:38,Delhi Central,16.602856116022437,84.96716653068987,122,232,55,38,19,12
Delhi,238,pm10,2015-08-05 22:18:10,Delhi Central,18.954715211935646,84.5161248483468,143,218,41,50,11,6
Delhi,297,pm25,2015-08-09 14:32:43,Delhi Central,11.821070886125922,84.66414821488355,200,201,56,24,9,5
Delhi,253,pm25,2015-08-13 06:47:16,Delhi Central,16.733285753246218,80.52974060451851,153,227,52,41,17,4
Delhi,252,pm25,2015-08-16 23:01:49,Delhi Central,27.168843771202756,87.33206017946569,160,169,16,36,33,7
Delhi,278,pm10,2015-08-20 15:16:21,Delhi Central,17.743625372163194,82.52729624645107,155,192,82,43,27,7
Delhi,227,pm25,2015-08-24 07:30:54,Delhi Central,13.262307510146062,87.009725929036,147,173,33,18,12,5
Delhi,277,pm25,2015-08-27 23:45:27,Delhi Central,27.0073398220476,86.81526347979357,149,226,24,41,15,7
Delhi,286,pm10,2015-08-31 16:00:00,Delhi Central,10.399390797436961,71.85408792316204,167,224,69,35,11,16
Delhi,226,no2,2015-09-04 08:14:32,Delhi Central,19.669246279286835,82.54682175601741,123,127,50,36,25,14
Delhi,258,pm10,2015-09-08 00:29:05,Delhi Central,29.00931184621839,81.60435886841904,160,219,78,41,2,9
Delhi,217,pm10,2015-09-11 16:43:38,Delhi Central,27.200148270605517,78.49074669040104,144,246,89,56,7,12
Delhi,249,o3,2015-09-15 08:58:10,Delhi Central,23.40872315197211,71.07376904326112,137,229,38,45,22,2
Delhi,305,pm10,2015-09-19 01:12:43,Delhi Central,26.774575258452074,81.35001177274849,235,186,48,5,21,11
Delhi,249,pm25,2015-09-22 17:27:16,Delhi Central,29.268990832038263,86.19211942747066,132,130,50,17,7,18
Delhi,219,pm10,2015-09-26 09:41:49,Delhi Central,18.839869004495572,83.75826736258949,149,255,37,40,37,2
Delhi,189,o3,2015-09-30 01:56:21,Delhi Central,19.676247006914927,88.68314527943974,109,135,65,7,14,4
Delhi,303,pm25,2015-10-03 18:10:54,Delhi Central,18.18259710295859,78.24583578667924,182,225,48,41,22,17
Delhi,359,pm25,2015-10-07 10:25:27,Delhi Central,28.838432126923315,75.72078565875354,226,301,44,34,20,16
Delhi,237,pm25,2015-10-11 02:40:00,Delhi Central,28.747229187149507,88.45111638147011,143,258,31,52,14,9
Delhi,233,pm25,2015-10-14 18:54:32,Delhi Central,22.20734376190274,74.66086846954292,164,147,51,43,37,9
Delhi,349,pm25,2015-10-18 11:09:05,Delhi Central,27.12494806294341,72.80861559175835,197,208,97,48,8,7
Delhi,215,o3,2015-10-22 03:23:38,Delhi Central,28.17764880272548,79.38340650380509,160,182,32,19,6,4
Delhi,316,o3,2015-10-25 19:38:10,Delhi Central,17.74299629013084,77.46503616484524,201,193,54,29,32,10
Delhi,299,pm10,2015-10-29 11:52:43,Delhi Central,14.88311370860149,71.89050460304479,185,322,6,38,4,11
Delhi,304,pm10,2015-11-02 04:07:16,Delhi Central,28.97018805896073,87.30256857173191,187,262,70,8,15,8
Delhi,283,o3,2015-11-05 20:21:49,Delhi Central,24.727050008931045,89.83444069222139,181,214,68,24,17,7
Delhi,300,pm10,2015-11-09 12:36:21,Delhi Central,14.047113044262353,78.2930956838538,180,236,50,11,19,15
Delhi,215,pm25,2015-11-13 04:50:54,Delhi Central,28.202162732224032,82.03981113584706,144,161,65,33,8,9
Delhi,148,pm25,2015-11-16 21:05:27,Delhi Central,22.365161412735866,71.40039848030074,71,107,53,44,14,14
Delhi,333,pm25,2015-11-20 13:20:00,Delhi Central,28.610248634500575,80.38342120618766,184,260,31,24,3,13
Delhi,214,o3,2015-11-24 05:34:32,Delhi Central,21.0676029362613,75.96006367057605,146,136,81,40,20,7
Delhi,253,pm10,2015-11-27 21:49:05,Delhi Central,19.8306715153417,76.57499708273667,163,186,73,47,11,14
Delhi,241,pm25,2015-12-01 14:03:38,Delhi Central,22.122809685701025,71.28502322519775,157,152,62,38,7,13
Delhi,313,pm25,2015-12-05 06:18:10,Delhi Central,24.090637771540884,82.6022700290967,185,233,76,25,27,3
Delhi,287,pm25,2015-12-08 22:32:43,Delhi Central,29.801395228953368,83.56311211045637,174,191,42,56,14,17
Delhi,252,pm25,2015-12-12 14:47:16,Delhi Central,27.089954348805474,87.12689338266135,144,248,59,12,24,7
Delhi,218,pm10,2015-12-16 07:01:49,Delhi Central,12.412119813427985,79.0886873661165,144,204,35,64,31,4
Delhi,294,pm25,2015-12-19 23:16:21,Delhi Central,25.093580312585665,79.57112854777544,190,209,82,25,22,7
Delhi,252,o3,2015-12-23 15:30:54,Delhi Central,24.213376277074335,89.78664063883653,168,197,67,53,18,8
Delhi,307,pm25,2015-12-27 07:45:27,Delhi Central,21.077981090107727,84.87641702409685,178,211,58,41,26,14
Delhi,318,pm10,2015-12-31 00:00:00,Delhi Central,10.883476210922598,70.62454520593161,164,240,50,66,21,11
Mumbai,192,pm25,2015-01-01 00:00:00,Mumbai Central,16.336291648308993,73.79478009735622,98,104,60,51,16,14
Mumbai,166,pm25,2015-01-04 16:14:32,Mumbai Central,13.983509626421526,85.79224266466149,77,128,38,76,44,7
Mumbai,261,pm25,2015-01-08 08:29:05,Mumbai Central,24.519871891129515,87.98516068511805,186,237,48,19,3,12
Mumbai,123,pm25,2015-01-12 00:43:38,Mumbai Central,29.584173624340874,88.9854649612102,81,127,68,41,4,0
Mumbai,108,pm25,2015-01-15 16:58:10,Mumbai Central,21.102863403044836,83.44164028120326,71,94,76,44,13,19
Mumbai,196,pm25,2015-01-19 09:12:43,Mumbai Central,16.978263316312226,84.61180417446766,151,169,81,38,26,9
Mumbai,124,pm25,2015-01-23 01:27:16,Mumbai Central,13.709310835694664,82.8741765529094,60,62,44,34,31,11
Mumbai,200,pm25,2015-01-26 17:41:49,Mumbai Central,29.276156404813566,79.54385499729558,125,101,35,45,24,4
Mumbai,177,pm25,2015-01-30 09:56:21,Mumbai Central,28.122271816250354,80.70883334867624,132,116,7,26,24,3
Mumbai,162,pm25,2015-02-03 02:10:54,Mumbai Central,20.164920906317473,88.72324750496057,83,94,45,31,2,20
Mumbai,165,pm25,2015-02-06 18:25:27,Mumbai Central,24.828183559285453,80.06071595296706,123,120,31,34,27,16
Mumbai,226,pm10,2015-02-10 10:40:00,Mumbai Central,27.579970889271564,89.4260489991369,157,116,59,37,35,6
Mumbai,243,pm25,2015-02-14 02:54:32,Mumbai Central,29.57061844798379,71.47889381810198,172,223,42,19,25,7
Mumbai,165,pm10,2015-02-17 19:09:05,Mumbai Central,14.058380188213297,71.10456474591855,67,128,76,53,39,9
Mumbai,158,pm10,2015-02-21 11:23:38,Mumbai Central,24.96942770074603,72.81567214495863,99,130,48,45,24,16
Mumbai,172,pm10,2015-02-25 03:38:10,Mumbai Central,12.664786310259013,89.73345320824635,107,120,67,76,0,7
Mumbai,143,o3,2015-02-28 19:52:43,Mumbai Central,25.28785602462355,87.66154991291224,84,119,64,31,30,5
Mumbai,236,pm25,2015-03-04 12:07:16,Mumbai Central,27.016515534880057,76.4239576755549,128,166,60,45,7,17
Mumbai,186,pm10,2015-03-08 04:21:49,Mumbai Central,23.795986735191253,76.29922050206267,56,154,71,34,14,16
Mumbai,182,pm25,2015-03-11 20:36:21,Mumbai Central,10.99751509014083,81.44126172158755,113,215,64,36,4,16
Mumbai,217,pm25,2015-03-15 12:50:54,Mumbai Central,18.005625270922884,89.51465513952522,136,115,16,33,31,13
Mumbai,155,pm10,2015-03-19 05:05:27,Mumbai Central,13.063314536514962,88.55436515826355,72,81,39,60,20,10
Mumbai,249,pm25,2015-03-22 21:20:00,Mumbai Central,13.080363203631101,88.87866262291209,134,249,72,48,30,13
Mumbai,156,pm25,2015-03-26 13:34:32,Mumbai Central,27.73767887144401,89.6299641509384,86,72,74,80,12,8
Mumbai,152,pm25,2015-03-30 05:49:05,Mumbai Central,27.79296154927424,71.628991552829,59,144,14,44,25,15
Mumbai,251,pm25,2015-04-02 22:03:38,Mumbai Central,24.023868531782774,76.76075997589861,181,165,62,41,35,13
Mumbai,134,pm25,2015-04-06 14:18:10,Mumbai Central,24.180370759738857,86.33915814587792,58,60,56,49,27,12
Mumbai,149,pm25,2015-04-10 06:32:43,Mumbai Central,26.56761334107117,77.76456204831516,111,139,21,41,18,8
Mumbai,140,pm25,2015-04-13 22:47:16,Mumbai Central,25.15685365852591,87.25957991293306,102,111,29,8,23,1
Mumbai,151,pm25,2015-04-17 15:01:49,Mumbai Central,14.394147878548463,89.31877403192533,51,134,32,42,1,9
Mumbai,179,pm25,2015-04-21 07:16:21,Mumbai Central,23.00188122269529,70.00362721879924,94,176,49,49,0,14
Mumbai,107,pm10,2015-04-24 23:30:54,Mumbai Central,11.745816494467295,87.6972820747221,70,69,44,39,22,14
Mumbai,146,o3,2015-04-28 15:45:27,Mumbai Central,12.193635346700201,75.5813600113473,86,80,62,49,33,23
Mumbai,161,no2,2015-05-02 08:00:00,Mumbai Central,10.76602632478588,75.77239646020432,91,144,12,49,2,5
Mumbai,161,o3,2015-05-06 00:14:32,Mumbai Central,12.594505955900388,76.55650639456016,124,111,66,50,22,1
Mumbai,231,pm25,2015-05-09 16:29:05,Mumbai Central,25.18662332387529,71.70997840239643,166,145,85,39,26,9
Mumbai,147,pm25,2015-05-13 08:43:38,Mumbai Central,24.477544194636813,79.19909588064674,76,114,45,38,15,17
Mumbai,263,o3,2015-05-17 00:58:10,Mumbai Central,16.995578697500946,86.32208542108555,154,234,64,45,26,11
Mumbai,182,o3,2015-05-20 17:12:43,Mumbai Central,23.84519120477956,71.81382437737736,117,137,75,26,11,19
Mumbai,175,pm25,2015-05-24 09:27:16,Mumbai Central,16.78621755765644,82.5112206936076,104,182,81,24,31,7
Mumbai,116,pm10,2015-05-28 01:41:49,Mumbai Central,20.10658252614303,70.57565575571786,68,116,72,56,21,7
Mumbai,162,pm25,2015-05-31 17:56:21,Mumbai Central,28.072645720710966,89.87128916019131,90,135,48,84,14,7
Mumbai,219,pm25,2015-06-04 10:10:54,Mumbai Central,29.335475577263413,79.539040669846,147,251,68,49,15,14
Mumbai,189,pm25,2015-06-08 02:25:27,Mumbai Central,27.38807289256814,72.21995126517378,122,129,60,24,24,9
Mumbai,161,pm25,2015-06-11 18:40:00,Mumbai Central,29.138825613068683,71.49109365840619,68,163,14,14,22,14
Mumbai,171,o3,2015-06-15 10:54:32,Mumbai Central,16.993089282810537,88.83092043304987,93,116,86,25,9,8
Mumbai,193,pm10,2015-06-19 03:09:05,Mumbai Central,25.13946376751246,80.61580319888176,148,129,40,31,22,12
Mumbai,264,pm25,2015-06-22 19:23:38,Mumbai Central,23.191328602477157,74.15355722130278,158,231,57,17,37,8
Mumbai,108,pm10,2015-06-26 11:38:10,Mumbai Central,21.8535182581223,82.80127219732776,61,113,65,50,21,17
Mumbai,182,pm10,2015-06-30 03:52:43,Mumbai Central,21.98832232211615,80.54049302813715,133,164,57,25,0,14
Mumbai,119,pm10,2015-07-03 20:07:16,Mumbai Central,18.419149209955783,88.78670348213508,61,120,26,45,32,5
Mumbai,96,pm25,2015-07-07 12:21:49,Mumbai Central,17.90135547949542,73.69836914157528,98,54,86,17,11,9
Mumbai,186,pm25,2015-07-11 04:36:21,Mumbai Central,25.200632444702265,81.8400560146116,97,180,50,56,33,15
Mumbai,190,pm25,2015-07-14 20:50:54,Mumbai Central,20.8979184377291,74.93216565875622,72,85,56,21,11,11
Mumbai,166,pm25,2015-07-18 13:05:27,Mumbai Central,10.77241122810847,74.7020462299904,85,109,36,63,11,5
Mumbai,79,o3,2015-07-22 05:19:59,Mumbai Central,25.358158531520168,87.62190801406439,37,65,49,15,17,5
Mumbai,229,pm25,2015-07-25 21:34:32,Mumbai Central,15.187081216186428,78.24253577946689,144,217,64,56,22,8
Mumbai,206,o3,2015-07-29 13:49:05,Mumbai Central,20.088537433075523,77.57991056809487,141,215,58,54,16,2
Mumbai,155,pm10,2015-08-02 06:03:38,Mumbai Central,18.590267418523684,88.56647465599954,87,113,61,14,17,14
Mumbai,168,pm10,2015-08-05 22:18:10,Mumbai Central,18.783024699714943,89.0081421315633,93,140,57,23,24,8
Mumbai,138,pm25,2015-08-09 14:32:43,Mumbai Central,22.149519076309154,79.02189773545501,108,94,45,34,21,15
Mumbai,174,pm10,2015-08-13 06:47:16,Mumbai Central,11.745000263268004,87.94701155755419,115,137,41,34,21,0
Mumbai,223,pm25,2015-08-16 23:01:49,Mumbai Central,15.864502600532433,79.19084437045298,105,191,43,22,29,14
Mumbai,109,pm25,2015-08-20 15:16:21,Mumbai Central,29.50081805117997,85.1207898036813,74,49,83,39,21,12
Mumbai,151,pm25,2015-08-24 07:30:54,Mumbai Central,27.395077451836887,75.3780999347891,69,134,64,16,17,5
Mumbai,175,pm10,2015-08-27 23:45:27,Mumbai Central,27.299291555885127,81.09031015915805,83,122,31,30,24,9
Mumbai,179,o3,2015-08-31 16:00:00,Mumbai Central,28.871077907375323,83.85041163567521,110,102,78,25,14,10
Mumbai,237,o3,2015-09-04 08:14:32,Mumbai Central,16.375530509283067,80.72442556398026,202,220,46,55,31,13
Mumbai,162,pm25,2015-09-08 00:29:05,Mumbai Central,10.164962360084877,76.21508490910128,109,138,40,44,14,9
Mumbai,124,pm25,2015-09-11 16:43:38,Mumbai Central,19.483086866657253,86.18236865527905,66,109,69,52,19,5
Mumbai,279,o3,2015-09-15 08:58:10,Mumbai Central,22.291530778185646,74.11263619270335,185,195,68,2,16,15
Mumbai,200,pm25,2015-09-19 01:12:43,Mumbai Central,28.8049415274928,71.2114236933719,116,122,44,51,25,10
Mumbai,169,pm25,2015-09-22 17:27:16,Mumbai Central,21.554457591490266,72.71898314885746,97,102,36,60,19,10
Mumbai,216,pm25,2015-09-26 09:41:49,Mumbai Central,27.78937952276099,74.17949550367793,123,113,52,31,27,2
Mumbai,71,pm25,2015-09-30 01:56:21,Mumbai Central,22.047560729287934,78.1827124617624,34,69,36,16,14,0
Mumbai,266,pm25,2015-10-03 18:10:54,Mumbai Central,29.92761703553851,88.92439878952605,141,246,79,45,6,13
Mumbai,166,o3,2015-10-07 10:25:27,Mumbai Central,29.75513902483462,78.7969916139936,89,146,57,33,23,6
Mumbai,239,no2,2015-10-11 02:40:00,Mumbai Central,16.20226955816455,73.05324845470508,169,172,57,51,15,6
Mumbai,190,pm10,2015-10-14 18:54:32,Mumbai Central,23.288491212175032,82.30699715090888,78,91,69,58,40,8
Mumbai,112,pm10,2015-10-18 11:09:05,Mumbai Central,23.19657595210628,76.95347755852578,62,92,57,64,35,12
Mumbai,194,o3,2015-10-22 03:23:38,Mumbai Central,11.421688146611093,81.68917078103132,126,183,62,24,3,12
Mumbai,287,pm25,2015-10-25 19:38:10,Mumbai Central,29.095391160865923,79.61531145524091,153,232,53,57,26,11
Mumbai,116,pm25,2015-10-29 11:52:43,Mumbai Central,26.337642398665487,70.27818951599262,67,112,17,75,29,15
Mumbai,192,pm25,2015-11-02 04:07:16,Mumbai Central,25.25900591006471,76.97227760299448,96,105,43,44,44,2
Mumbai,123,pm10,2015-11-05 20:21:49,Mumbai Central,21.04216414205077,86.79458408586245,80,112,42,50,34,9
Mumbai,144,no2,2015-11-09 12:36:21,Mumbai Central,10.368032984601157,86.63079726089894,75,150,36,10,23,5
Mumbai,210,pm25,2015-11-13 04:50:54,Mumbai Central,26.74857389895014,72.65756196148949,108,158,60,8,23,7
Mumbai,128,pm10,2015-11-16 21:05:27,Mumbai Central,12.652286576039833,71.10606211387902,62,119,88,43,23,15
Mumbai,222,pm25,2015-11-20 13:20:00,Mumbai Central,21.079093484583304,84.77977207968611,114,153,45,33,5,14
Mumbai,226,o3,2015-11-24 05:34:32,Mumbai Central,26.409400754097963,79.19698571429231,103,234,82,31,18,10
Mumbai,173,no2,2015-11-27 21:49:05,Mumbai Central,12.483350093640421,72.72495062959254,79,144,23,47,12,15
Mumbai,159,pm25,2015-12-01 14:03:38,Mumbai Central,18.81908087015507,78.61036272631138,102,107,38,48,20,7
Mumbai,184,o3,2015-12-05 06:18:10,Mumbai Central,24.883564684139415,85.59067867606531,56,126,57,64,21,12
Mumbai,111,pm25,2015-12-08 22:32:43,Mumbai Central,26.684114457061867,75.89671407138084,99,85,10,55,25,16
Mumbai,205,o3,2015-12-12 14:47:16,Mumbai Central,24.379014988845544,89.57212036534519,73,184,31,50,23,17
Mumbai,196,pm10,2015-12-16 07:01:49,Mumbai Central,16.053151344590088,83.91592577452585,116,160,44,39,4,17
Mumbai,141,o3,2015-12-19 23:16:21,Mumbai Central,26.77383736337612,83.68147227010174,87,130,31,49,24,8
Mumbai,220,o3,2015-12-23 15:30:54,Mumbai Central,25.018533941646332,80.23085673138317,115,188,94,51,27,11
Mumbai,147,pm25,2015-12-27 07:45:27,Mumbai Central,24.591442298004058,71.3080537088181,87,111,56,41,4,18
Mumbai,119,pm25,2015-12-31 00:00:00,Mumbai Central,22.879589025096706,75.00624759453112,87,121,98,29,13,18
Bangalore,50,o3,2015-01-01 00:00:00,Bangalore Central,23.60540300896193,70.5165788355743,22,65,47,24,21,6
Bangalore,193,pm10,2015-01-04 16:14:32,Bangalore Central,24.83138144612691,76.57064359963812,104,161,52,38,28,1
Bangalore,50,pm10,2015-01-08 08:29:05,Bangalore Central,19.7310375332593,80.45319220161517,61,34,69,17,0,11
Bangalore,99,pm25,2015-01-12 00:43:38,Bangalore Central,16.920032500535143,86.217155869322,54,138,21,45,24,9
Bangalore,140,o3,2015-01-15 16:58:10,Bangalore Central,29.56380068876069,70.86703983806085,97,127,37,49,25,12
Bangalore,216,pm10,2015-01-19 09:12:43,Bangalore Central,19.266835967918553,89.63903329784597,130,199,64,46,13,14
Bangalore,113,pm25,2015-01-23 01:27:16,Bangalore Central,21.8681903990412,81.59440091824638,74,151,35,27,33,1
Bangalore,108,o3,2015-01-26 17:41:49,Bangalore Central,20.987295939222868,73.18535219169392,39,55,27,36,12,13
Bangalore,194,pm10,2015-01-30 09:56:21,Bangalore Central,23.976308626007786,78.44057461688838,141,181,41,38,6,10
Bangalore,123,pm25,2015-02-03 02:10:54,Bangalore Central,17.799445217680958,86.11823058194001,66,106,71,22,18,11
Bangalore,155,o3,2015-02-06 18:25:27,Bangalore Central,19.704432353923394,80.93814320091465,121,139,0,53,7,14
Bangalore,119,pm25,2015-02-10 10:40:00,Bangalore Central,20.411905900329764,83.63884253105249,76,170,38,25,8,16
Bangalore,148,pm10,2015-02-14 02:54:32,Bangalore Central,24.037265259465023,88.47019834827562,91,83,58,48,11,8
Bangalore,119,pm25,2015-02-17 19:09:05,Bangalore Central,12.128948804706344,79.05108709592625,62,99,54,29,23,10
Bangalore,168,pm25,2015-02-21 11:23:38,Bangalore Central,11.971963755009966,86.5686739202121,78,147,32,65,28,5
Bangalore,167,pm25,2015-02-25 03:38:10,Bangalore Central,17.497484908979644,85.00220571311118,84,152,67,38,22,3
Bangalore,84,pm25,2015-02-28 19:52:43,Bangalore Central,24.212307245182117,72.0777259734082,10,80,75,27,20,19
Bangalore,83,pm25,2015-03-04 12:07:16,Bangalore Central,21.340767116787063,86.01284384792021,67,80,41,38,12,15
Bangalore,61,pm10,2015-03-08 04:21:49,Bangalore Central,28.57821349036064,81.86278692774987,15,39,76,30,12,13
Bangalore,50,pm25,2015-03-11 20:36:21,Bangalore Central,25.804570477686333,73.78699690280293,25,0,53,48,5,5
Bangalore,156,pm25,2015-03-15 12:50:54,Bangalore Central,14.86554123839255,81.40413439461163,87,144,86,28,13,11
Bangalore,126,pm25,2015-03-19 05:05:27,Bangalore Central,10.05144676138083,89.6742055194792,62,87,14,60,23,12
Bangalore,128,no2,2015-03-22 21:20:00,Bangalore Central,29.617374779672012,89.48292569385085,66,122,52,51,18,9
Bangalore,145,pm25,2015-03-26 13:34:32,Bangalore Central,14.82168176022877,89.88588915785861,89,125,56,39,37,11
Bangalore,85,no2,2015-03-30 05:49:05,Bangalore Central,25.944004348157996,80.55904378731191,78,11,34,31,10,9
Bangalore,52,o3,2015-04-02 22:03:38,Bangalore Central,11.950886845903826,87.21030436014979,17,6,65,41,28,9
Bangalore,166,o3,2015-04-06 14:18:10,Bangalore Central,24.620166231883946,83.42887504896335,92,151,9,57,0,5
Bangalore,115,o3,2015-04-10 06:32:43,Bangalore Central,25.619638815373985,74.83061217526063,75,98,27,31,27,6
Bangalore,130,pm10,2015-04-13 22:47:16,Bangalore Central,27.974242764316493,80.83447754972555,69,125,87,17,18,4
Bangalore,145,pm10,2015-04-17 15:01:49,Bangalore Central,12.92428920681849,70.98842788473895,85,112,58,36,25,7
Bangalore,69,pm25,2015-04-21 07:16:21,Bangalore Central,13.365221719757571,79.32273839640892,42,60,57,77,27,5
Bangalore,174,no2,2015-04-24 23:30:54,Bangalore Central,15.20565620593944,72.78713709318843,122,128,67,25,36,13
